seed,loss,bestValidationScore,testR2
5993,0.005127419575880613,0.9502783294650041,-0.4038333599203936
5731,0.0045733452920397565,0.9530272760135555,0.03148533313891588
6850,0.005257236870108724,0.9438398715382013,-0.7187643201295426
2387,0.0049767029260812425,0.9506757695658479,-0.46669564488172743
6840,0.005264816623607392,0.9429916403031724,-0.6103923424244243
1113,0.0046633758637225275,0.9550115281087713,-0.7716803748929015
6548,0.004943909087330583,0.951283321016,-0.17089302418971045
8274,0.005698222114598402,0.9368802020025081,-0.9309027684864186
3887,0.005161126449090541,0.9430631989271957,-0.4138905773416404
8388,0.005015344648763263,0.9520830123415586,-0.6989361769850279
4768,0.004882106911669076,0.9523497431247877,-0.20351726805022885
6745,0.004467996645412864,0.954974371563138,-0.8386061293569229
1874,0.004864211871496089,0.9498224549391341,-0.07976821199757234
4267,0.004677736418853796,0.9587326818298191,-0.4360201052226087
1210,0.0050534523466820285,0.9555208765088067,-0.3227875047328906
7584,0.005539896777538306,0.9432440867585917,-0.41263817260969465
3999,0.0044716879099639915,0.9556130543462521,-0.2488030103551719
9696,0.0058285958494629,0.9268183610151163,-0.752111383092314
313,0.005001251259624431,0.9488227230269436,-0.4280079168227351
5504,0.004499540486571258,0.9595761799731538,-0.4778533818470694
3538,0.005428729164439778,0.9389328639237705,-0.11615270663419537
3928,0.004925977851784352,0.9534820477497501,-0.18895346286007567
1365,0.005084863050870941,0.9530827640315741,-0.1673328609484501
883,0.004424699479304109,0.9555377993068118,0.05462332192284761
5062,0.0051046807576393466,0.9483927207342076,-0.6268146666895803
9554,0.005059899588745287,0.9436836570037254,-0.9540225744159705
4231,0.00522826346675362,0.944184325419568,-0.7903064102463121
2627,0.004386586420180589,0.9557022776620681,-0.3842993127641803
1211,0.005310479556049027,0.948390736608825,-0.36419029534345454
7107,0.004581095099317225,0.9552040404843312,-0.310817602515456
1232,0.0048997729507600715,0.9477263849030906,-0.9406062181603628
4989,0.0055150444033594224,0.9431533055507805,-0.8960654166256189
7521,0.0051680870078063285,0.9457428026372391,-0.20065486153878206
9895,0.0047918096035584916,0.9523313524211261,-0.8406843824114744
2420,0.0061290160248756885,0.9280018167757005,-1.2533738217224244
6403,0.006125773420938459,0.9310738346600004,-0.2556218977769616
6775,0.004710178422227493,0.9549564333094831,-0.023538570267361687
6123,0.004566270924169055,0.9521229220381269,0.1124368068010031
3290,0.005464238471530293,0.9362598835708408,-0.9279176397347945
2427,0.005422313921452607,0.9483314712573677,-0.4244563405087567
2798,0.004435384189808256,0.962214413604734,-1.0968595757696682
8814,0.004690521386981641,0.9491723529654709,-0.1602934262920104
4589,0.005137570366063561,0.9494877635329031,-0.7434282432153488
3629,0.004829255700645827,0.9515458920894986,-0.10688752497001323
5002,0.005358971463432507,0.9430753212669846,-1.1023792258779115
902,0.005068386835442256,0.9451120999169449,-0.6011921972594577
5528,0.005230289829041202,0.946825588436635,-0.6586281517404121
