seed,loss,bestValidationScore,testR2
2314,0.004370379371269244,0.9574146612217063,-0.08485772908455702
6957,0.004337249663405886,0.9594614981521271,-0.11097579752171254
972,0.005126929281814114,0.9434151697491799,-0.5583794556828839
1016,0.004550866586486473,0.9570524463472512,0.003054711581225685
8267,0.004528800365414893,0.9571526396241034,0.011267583522999688
3581,0.004434488649256616,0.9560049843522963,-0.002673855487003385
9453,0.004407819890178167,0.9554245867896825,-0.017547398087785937
1477,0.004540363006212197,0.956431248361219,0.03222931159134627
9667,0.004725680586803907,0.9452810045732832,0.13105152599243486
7127,0.004488528105570513,0.9581496944041307,-0.02764587414653989
1460,0.004543868547491425,0.9629745637582542,-0.02563905955161938
5038,0.004909285211866678,0.9438637932596183,-0.21496856512971127
934,0.005016364025846308,0.9401264091932454,-0.6415130477914198
9557,0.004540981425723364,0.9503020515595021,0.07152192713237888
6303,0.004540462239645485,0.9564191315651286,0.05240755751937624
643,0.004479779724162943,0.9600244268862892,-0.20914175761186538
2769,0.00458875905086506,0.9556470953593407,0.08218427366464343
2177,0.00449589870061211,0.9581312484724983,-0.13176931726934618
1632,0.004559801763149414,0.9532408905631825,0.11215835362869053
9076,0.004592750206856891,0.9473668270798569,0.15017478207580506
8723,0.004569318196051799,0.9589871515931049,-0.03991250961334162
677,0.0048295165903775375,0.9471941877791377,0.07469125943283457
3741,0.004501725088802945,0.956819540330878,0.02449568128302119
1353,0.004779413438066703,0.9482729262434192,0.14654031368404666
8447,0.004630420360650523,0.9615178734521819,-0.003792178035242529
9842,0.004361492782540756,0.9585162955815983,-0.22623580806282975
